Nome: EIRUNEPE
Codigo Estacao: A109
Latitude: -6.65027777
Longitude: -69.8686111
Altitude: 121.54
Situacao: Pane
Data Inicial: 2012-08-30
Data Final: 2023-10-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-08-30;null;null;null;null;null;null;null;null;null;null;
2012-08-31;null;998,3375;19,141667;34,8;26,1375;null;69,958333;36;4,7;,630435;
2012-09-01;0;998,558333;21,3125;33,3;26,4;22;75,041667;50;7;1;
2012-09-02;0;998,795833;21,270833;33,2;26,25;21,2;76,333333;49;5,8;1,075;
2012-09-03;2;999,870833;21,254167;32,4;25,216667;21,4;80,333333;52;20,5;1,4375;
2012-09-04;19,6;999,758333;21,5625;32,3;25,325;21,3;81,458333;52;4,2;,95;
2012-09-05;0;999,104167;22,204167;33,1;25,879167;22,1;81,333333;49;9,4;1,045833;
2012-09-06;0;999,183333;20,416667;35,2;26,508333;20;72,541667;38;8,1;,958333;
2012-09-07;0;998,083333;21,545833;34,4;27,166667;21,9;73,833333;42;7,1;,9;
2012-09-08;0;998,191667;21,558333;35,2;27,529167;21,7;72,666667;38;8,7;1,404167;
2012-09-09;0;998,7875;21,8;35,3;27,883333;21,8;73,041667;34;7,9;1,216667;
2012-09-10;0;997,966667;21,4;35,5;27,620833;21,7;72,208333;36;5,6;1,133333;
2012-09-11;0;996,354167;20,745833;36,7;28,2875;21,5;68,416667;30;5,4;,875;
