Nome: LAGOA DA CONFUSAO
Codigo Estacao: A055
Latitude: -10.828286
Longitude: -49.847882
Altitude: 178
Situacao: Operante
Data Inicial: 2016-11-14
Data Final: 2023-10-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2016-11-14;null;null;null;null;null;null;null;null;null;null;
2016-11-15;null;985,526087;22,217391;33,4;26,495833;null;79,869565;48;7,6;1,491304;
2016-11-16;0;986,927273;22,286364;31,7;26,495455;22,6;78,954545;54;7,2;1,781818;
2016-11-17;2,4;987,525;22,4875;33,9;26,175;22,5;82,375;47;12,5;1,008333;
2016-11-18;29;987,938095;22,761905;30;null;22,7;87,047619;63;5,3;1,2;
2016-11-19;0;986,641667;22,9375;33,3;26,775;21,9;81,375;54;5,2;,9125;
2016-11-20;0;987,304348;23,117391;28,7;24,869565;22,4;90,347826;73;9,7;1;
2016-11-21;26,4;989,341667;22,783333;32,9;25,658333;22,3;85,583333;51;8,7;1,1125;
2016-11-22;2;989,1125;23,054167;26,8;23,941667;23,6;94,708333;85;8,9;1,208333;
2016-11-23;60,4;988,258333;22,645833;33,7;26,591667;21,9;80,958333;55;4,8;1,116667;
2016-11-24;0;988,921739;23,278261;32,6;27,021739;22,8;81,434783;55;12,5;1,391304;
2016-11-25;,8;988,965217;23,004348;34,5;27,730435;22,6;77,391304;52;6,5;1,565217;
2016-11-26;0;987,854545;23,422727;36,5;29,5;23,7;72,636364;41;6;1,277273;
2016-11-27;0;988,575;22,009091;36,4;28,654167;23,1;70,454545;35;5;,9875;
2016-11-28;0;989,195238;null;36,4;null;21,5;null;null;5,2;,990476;
2016-11-29;0;987,552174;20,61;37,9;29,126087;20,7;62,6;31;6,6;1,178261;
2016-11-30;0;987,1125;22,0625;36,9;28,154167;22,8;72,166667;36;8,8;,975;
2016-12-01;0;990,330435;22,573913;30,1;25,513043;22,9;84,347826;68;10;1,721739;
2016-12-02;20;991,768182;21,75;30,8;24,390909;21,2;86,045455;61;8;1,418182;
2016-12-03;,2;988,675;null;35,5;27,595833;23,1;91,583333;62;7;1,220833;
2016-12-04;2,6;988,725;null;32,1;26,070833;21,8;null;null;9,8;1,658333;
2016-12-05;,2;990,079167;22,155;33,8;26,604167;22,4;77,75;49;11,2;1,283333;
2016-12-06;12;990,266667;null;34,8;27,683333;23;null;null;6,1;1,004167;
2016-12-07;10,4;989,895652;null;29,5;25,143478;22,6;null;62;8,9;1,63913;
2016-12-08;,2;989,8;null;32,5;26,421739;22,6;84,294118;54;4,5;,834783;
2016-12-09;0;989,0625;null;33,2;26,604167;21,9;null;null;4,7;,8;
2016-12-10;1;989,525;null;33,7;26,983333;23,7;null;null;8,7;1,883333;
2016-12-11;8,4;989,704167;null;32,4;26,0375;22,8;87,769231;62;5,8;1,291667;
2016-12-12;0;988,008333;null;33,8;26,245833;22,9;null;null;10,2;1,275;
2016-12-13;13;988,733333;null;31,5;24,566667;22,5;null;null;10,1;1,175;
2016-12-14;8,4;989,541667;23,0625;31,4;25,758333;22,8;86,041667;61;8,5;1,408333;
2016-12-15;35,6;989,595833;23,166667;30,2;25,675;22,8;86,916667;61;8,5;1,120833;
2016-12-16;,2;990,969565;22,586957;29,9;24,991304;23,2;87,086957;63;6;1,030435;
2016-12-17;,6;991,3;22,008333;29,6;24,275;22,3;88,041667;67;9,2;1,4125;
2016-12-18;6,8;990,204167;21,645833;28,9;23,1;20,9;91,833333;67;10,9;1,283333;
2016-12-19;4,2;989,634783;22,382609;31,7;25,552174;21,8;84,086957;55;5;,76087;
2016-12-20;5,6;989,1625;22,233333;26,2;23,6375;20,6;92,125;78;8,9;1,004167;
2016-12-21;6,4;987,625;22,241667;32,2;25,454167;20,6;83,958333;53;6;1,279167;
2016-12-22;2,2;989,416667;22,575;28,4;24,341667;22;90,25;74;5,7;1,225;
2016-12-23;0;989,004348;null;35;27,708696;23,1;87,25;50;6,4;1,413043;
2016-12-24;0;987,5625;null;35,3;28,470833;22,9;null;46;6,2;,991667;
2016-12-25;0;987,129167;null;34,5;27,8875;22,9;null;67;5,6;,879167;
2016-12-26;0;988,216667;22,525;32,7;27,020833;23,9;78,333333;38;10,8;1,325;
2016-12-27;0;989,533333;null;35,1;26,266667;21,5;86,533333;56;16,2;1,4375;
2016-12-28;27,6;988,9875;null;34,4;26,666667;21,2;82,470588;51;11,1;1,279167;
2016-12-29;0;990,1625;22,325;31,8;26,079167;22,5;80,916667;58;7,3;1,666667;
2016-12-30;0;989,654167;null;33,3;27,033333;23,2;88,333333;59;7,8;1,191667;
2016-12-31;0;990,182609;null;32,3;26,63913;23,1;81,235294;57;5,2;1,069565;
2017-01-01;0;989,956522;null;33,6;27,578261;23,7;88,466667;59;5,4;1,086957;
2017-01-02;0;988,865217;null;33,8;27,53913;23,2;82,384615;54;5,5;1,186957;
2017-01-03;0;988,795833;22,636842;33,2;27,0375;23,4;80;59;9,1;1,5125;
2017-01-04;0;989,9625;21,72381;33,7;25,2875;20,9;85,571429;59;16,9;1,1375;
