Nome: BELEM;;;;;;;;;
Codigo Estacao: 82191;;;;;;;;;
Latitude: -1.43583333;;;;;;;;;
Longitude: -48.43722221;;;;;;;;;
Altitude: 7.13;;;;;;;;;
Situacao: Operante;;;;;;;;;
Data Inicial: 1990-01-01;;;;;;;;;
Data Final: 2023-10-01;;;;;;;;;
Periodicidade da Medicao: Diaria;;;;;;;;;
;;;;;;;;;
Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(ï¿½ï;TEMPERATURA MEDIA COMPENSADA, DIARIA(ï¿½ï;TEMPERATURA MINIMA, DIARIA(ï¿½ï;UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s)
01/01/1990;1,1;6,8;5,6;31,6;25,72;22,2;88,75;81;1
02/01/1990;1,5;8;1,4;32,6;26,32;22;90;83;0,833333
03/01/1990;1,3;8,4;19,6;34,2;26,88;22,4;88,5;72;1,566667
04/01/1990;1,6;4,5;0;31,8;25,68;22,8;87,25;65;1,133333
05/01/1990;1,5;8,5;2,1;32,4;26,76;22,8;81,75;62;1,8
06/01/1990;1,8;5,7;2,8;32,6;26,64;22,4;80,75;67;1,7
07/01/1990;1,6;9,5;7;32,4;26,64;23;77,75;57;0,933333
08/01/1990;2,1;6;0;32;25,8;22,8;86;73;2,033333
09/01/1990;1,4;5;8;31,8;26,24;22,8;90;78;1,2
10/01/1990;1,4;7,5;0,4;31,2;26,12;23,2;80,75;64;0,866667
11/01/1990;1,9;9;0;32,4;27,12;22,8;79,75;55;1,666667
12/01/1990;2,4;7,7;0;32,8;27,08;22,6;77,75;60;2,1
13/01/1990;2;9,3;0;32,4;26,72;22,8;81,25;60;0,866667
14/01/1990;0,3;8,8;5,8;32,6;25,84;23;91,5;76;2,066667
15/01/1990;1,2;3,5;8,6;30,8;27,2;23,2;74,5;74;0,333333
16/01/1990;1,1;0,1;15,8;28,2;24,4;22,6;94;67;0,866667
17/01/1990;0,5;6,4;0,4;32,4;25,88;22,2;84;63;1,233333
18/01/1990;1,4;8,1;0;32,8;26,6;22,2;81,5;63;0,9
19/01/1990;2,9;7,5;0;32,6;26,92;23;81,25;65;0,433333
20/01/1990;2,2;6,6;1,5;32;26,52;22,6;81,75;57;1,7
21/01/1990;1,9;1,6;6,6;31,2;25,6;22,6;93,75;90;0
22/01/1990;1;4,6;37;30,8;26;22,6;93,25;89;0
23/01/1990;1,1;4,8;13,2;30,9;26,06;22,6;91,75;87;0,533333
24/01/1990;1,8;4,9;10,6;31,6;27,38;23,9;85,25;78;1,2
25/01/1990;2;6;9,9;32,8;26,64;24,2;85,75;67;1,933333
26/01/1990;1,7;0;4,6;29,4;26,2;24,2;93;89;0,533333
27/01/1990;0,7;4,3;4,4;30,8;25,62;22,6;93,5;88;1,466667
28/01/1990;1;2,7;27,8;29,3;25,24;23;92,75;82;1,633333
